convert_TF,touch1,touch2,touch3,touch4,touch5,tier
True,referral,email,,,,1
True,referral,referral,email,,,1
True,referral,email,,,,1
True,referral,social,email,,,1
True,email,organic_search,referral,referral,,1
True,email,referral,referral,,,1
True,referral,referral,referral,referral,email,1
True,social,referral,email,,,1
True,referral,referral,email,,,1
True,social,referral,email,,,1
True,email,,,,,1
True,social,email,referral,email,,1
True,referral,email,,,,1
True,email,,,,,1
True,referral,referral,display,email,,1
True,email,social,email,,,1
True,email,referral,display,referral,,1
True,email,referral,referral,,,1
True,email,social,referral,referral,,1
True,referral,referral,email,,,1
True,email,,,,,1
True,referral,social,referral,social,email,1
True,email,referral,referral,,,1
True,referral,referral,,,,1
True,display,referral,email,,,1
True,email,email,,,,1
True,social,display,,,,1
True,referral,referral,referral,email,,1
True,email,referral,paid_search,,,1
True,email,email,display,referral,,1
True,referral,referral,email,,,1
True,email,,,,,1
True,referral,display,email,,,1
True,email,referral,,,,1
True,email,referral,referral,,,1
True,referral,display,referral,email,,1
True,referral,social,email,,,1
True,email,referral,social,referral,,1
True,referral,referral,referral,,,1
True,referral,referral,display,email,,1
True,email,referral,referral,,,1
True,referral,display,,,,1
True,email,social,referral,,,1
True,referral,referral,email,,,1
True,display,email,,,,1
True,referral,email,,,,1
True,email,,,,,1
True,referral,display,,,,1
True,referral,referral,email,,,1
True,referral,referral,display,email,,1
True,referral,referral,referral,,,1
True,referral,social,email,,,1
True,email,,,,,1
True,email,referral,referral,,,1
True,email,referral,,,,1
True,email,referral,display,,,1
True,referral,social,referral,display,email,1
True,email,referral,referral,,,1
True,referral,display,email,,,1
True,referral,paid_search,email,,,1
True,referral,email,,,,1
True,referral,display,referral,email,email,1
True,referral,referral,email,,,1
True,email,email,paid_search,referral,referral,1
True,referral,referral,email,,,1
True,referral,referral,email,,,1
True,email,,,,,1
True,email,referral,organic_search,referral,referral,1
True,referral,referral,display,email,,1
True,referral,referral,email,,,1
True,email,social,display,,,1
True,referral,referral,email,,,1
True,referral,referral,email,,,1
True,referral,referral,email,,,1
True,email,referral,referral,,,1
True,email,referral,,,,1
True,referral,email,social,email,,1
True,referral,referral,email,referral,email,1
True,email,,,,,1
True,referral,email,,,,1
True,referral,display,referral,email,,1
True,referral,referral,display,email,,1
True,referral,referral,paid_search,email,,1
True,referral,referral,referral,referral,email,1
True,referral,referral,referral,email,,1
True,email,social,,,,1
True,referral,social,referral,email,email,1
True,email,,,,,1
True,email,social,referral,referral,,1
True,email,referral,referral,referral,,1
True,email,referral,referral,social,referral,1
True,referral,referral,referral,email,,1
True,display,referral,social,,,1
True,email,,,,,1
True,referral,referral,email,,,1
True,referral,referral,referral,email,,1
True,display,social,referral,referral,email,1
True,email,social,referral,display,referral,1
True,referral,referral,email,,,1
True,email,referral,referral,referral,,1
True,email,,,,,1
True,referral,email,,,,1
True,referral,referral,email,,,1
True,email,referral,referral,,,1
True,referral,,,,,1
True,email,referral,referral,,,1
True,email,social,social,,,1
True,referral,email,,,,1
True,email,referral,referral,referral,,1
True,referral,referral,display,email,,1
True,referral,referral,referral,referral,email,1
True,email,referral,referral,referral,,1
True,email,,,,,1
True,email,referral,display,,,1
True,referral,referral,email,,,1
True,social,email,,,,1
True,display,email,,,,1
True,referral,referral,email,,,1
True,display,referral,,,,1
True,referral,referral,display,referral,email,1
True,email,referral,display,,,1
True,referral,email,,,,1
True,referral,email,,,,1
True,social,referral,email,,,1
True,referral,email,,,,1
True,referral,display,referral,email,,1
True,referral,referral,email,,,1
True,referral,referral,email,,,1
True,social,referral,email,display,email,1
True,referral,email,,,,1
True,referral,social,referral,email,,1
True,email,referral,display,,,1
True,referral,social,,,,1
True,paid_search,referral,email,,,1
True,referral,referral,referral,referral,email,1
True,referral,referral,email,,,1
True,email,,,,,1
True,email,referral,referral,display,social,1
True,referral,referral,email,,,1
True,email,referral,referral,,,1
True,email,,,,,1
True,referral,email,,,,1
True,social,social,,,,1
True,email,referral,display,referral,,1
True,referral,,,,,1
True,referral,referral,email,,,1
True,display,,,,,1
True,referral,referral,email,,,1
True,referral,referral,referral,referral,email,1
True,email,referral,,,,1
True,email,email,,,,1
True,referral,display,email,,,1
True,email,referral,paid_search,,,1
True,referral,referral,email,,,1
True,email,email,referral,,,1
True,referral,email,,,,1
True,email,referral,referral,,,1
True,email,display,referral,,,1
True,email,referral,referral,,,1
True,email,,,,,1
True,email,referral,,,,1
True,referral,referral,referral,email,,1
True,paid_search,referral,referral,email,,1
True,referral,referral,email,,,1
True,referral,referral,email,email,email,1
True,referral,display,email,,,1
True,email,social,display,,,1
True,email,display,display,referral,,1
True,display,email,,,,1
True,display,social,referral,email,,1
True,display,email,referral,social,email,1
True,social,referral,email,,,1
True,referral,email,,,,1
True,email,,,,,1
True,display,email,,,,1
True,referral,referral,email,,,1
False,display,email,,,,1
False,referral,social,email,,,1
False,referral,email,,,,1
False,email,,,,,1
False,referral,social,email,,,1
False,display,referral,,,,1
False,email,referral,display,referral,,1
False,email,referral,referral,social,,1
False,referral,referral,referral,email,,1
False,referral,email,email,,,1
False,social,referral,email,,,1
False,email,,,,,1
False,referral,referral,email,,,1
False,social,referral,referral,referral,email,1
False,email,referral,referral,display,referral,1
False,email,display,,,,1
False,social,referral,display,email,,1
False,email,referral,,,,1
False,referral,referral,email,,,1
False,referral,referral,email,,,1
False,referral,referral,,,,1
False,social,referral,referral,,,1
False,referral,referral,referral,email,email,1
False,paid_search,referral,display,display,email,1
False,email,referral,,,,1
False,referral,email,,,,1
False,email,referral,referral,,,1
False,social,social,display,email,,1
False,referral,referral,referral,email,,1
False,email,social,referral,,,1
False,social,email,,,,1
False,referral,email,email,,,1
False,email,,,,,1
False,social,referral,,,,1
False,email,referral,,,,1
False,referral,email,email,,,1
False,referral,display,email,,,1
False,email,referral,display,,,1
False,referral,referral,email,,,1
False,email,social,,,,1
False,referral,display,social,referral,email,1
False,referral,referral,email,email,,1
False,referral,email,,,,1
False,email,referral,social,,,1
False,referral,email,email,email,,1
False,email,referral,,,,1
False,referral,email,,,,1
False,referral,referral,email,,,1
False,display,paid_search,email,,,1
False,referral,referral,paid_search,email,,1
False,email,referral,display,,,1
False,display,email,,,,1
False,referral,social,email,,,1
False,email,,,,,1
False,email,,,,,1
False,referral,email,,,,1
False,referral,referral,email,,,1
False,referral,email,,,,1
False,referral,email,display,email,,1
False,email,referral,referral,referral,,1
False,email,,,,,1
False,referral,email,,,,1
False,referral,referral,referral,paid_search,email,1
False,email,,,,,1
False,referral,,,,,1
False,email,referral,,,,1
False,email,referral,referral,,,1
False,referral,email,,,,1
False,email,email,,,,1
False,email,,,,,1
False,email,referral,social,,,1
False,referral,referral,referral,,,1
False,referral,referral,referral,,,1
False,referral,,,,,1
False,referral,email,,,,1
False,referral,display,email,,,1
False,referral,referral,email,,,1
False,referral,email,,,,1
False,email,referral,referral,,,1
False,email,referral,referral,social,,1
False,social,referral,email,,,1
False,referral,social,paid_search,referral,email,1
False,referral,referral,,,,1
False,referral,referral,referral,referral,email,1
False,referral,referral,email,,,1
False,display,social,email,,,1
False,display,referral,email,,,1
False,email,display,display,,,1
False,referral,display,email,,,1
False,email,,,,,1
False,email,referral,,,,1
False,email,referral,referral,,,1
False,referral,referral,email,,,1
False,social,referral,referral,email,,1
False,referral,email,email,,,1
False,display,social,email,,,1
False,referral,referral,referral,referral,email,1
False,email,display,referral,,,1
False,display,social,social,social,,1
False,referral,email,,,,1
False,social,display,referral,email,,1
False,referral,email,,,,1
False,email,referral,referral,,,1
False,display,referral,,,,1
False,display,,,,,1
False,email,referral,social,,,1
False,referral,referral,referral,,,1
False,email,referral,referral,referral,,1
False,email,referral,referral,display,referral,1
False,referral,referral,email,,,1
False,email,email,,,,1
False,referral,referral,email,,,1
False,referral,,,,,1
False,referral,referral,referral,email,,1
False,referral,referral,email,,,1
False,social,email,email,,,1
False,referral,email,,,,1
False,referral,referral,referral,display,email,1
False,display,display,email,,,1
False,referral,display,referral,referral,email,1
False,email,referral,referral,social,email,1
False,referral,referral,referral,,,1
False,email,display,referral,,,1
False,referral,email,,,,1
False,display,referral,referral,email,,1
False,email,social,display,email,referral,1
False,display,referral,email,,,1
False,referral,referral,email,,,1
False,email,referral,email,,,1
False,social,referral,email,,,1
False,email,referral,referral,,,1
False,email,social,,,,1
False,referral,email,email,,,1
False,referral,referral,email,,,1
False,referral,social,email,,,1
False,email,email,,,,1
False,email,referral,email,,,1
False,referral,display,email,,,1
False,email,referral,email,,,1
False,referral,social,email,,,1
False,email,,,,,1
False,display,email,,,,1
False,email,,,,,1
False,email,referral,display,referral,referral,1
False,email,referral,,,,1
False,referral,referral,referral,email,,1
False,email,referral,referral,,,1
False,display,display,email,referral,email,1
False,email,referral,,,,1
False,email,referral,referral,,,1
False,referral,referral,email,,,1
False,email,referral,email,,,1
False,email,referral,referral,,,1
False,paid_search,referral,email,,,1
False,email,,,,,1
False,email,display,,,,1
False,social,paid_search,email,,,1
False,email,referral,social,referral,referral,1
False,referral,email,,,,1
False,display,referral,social,referral,email,1
False,email,social,referral,social,,1
False,email,referral,,,,1
False,email,,,,,1
False,email,referral,referral,referral,,1
False,referral,email,,,,1
False,display,referral,email,,,1
False,social,referral,referral,referral,email,1
False,email,display,display,,,1
False,email,referral,referral,referral,,1
False,referral,referral,email,,,1
False,display,referral,referral,email,,1
False,referral,social,,,,1
False,referral,referral,email,,,1
False,referral,display,social,email,,1
False,paid_search,referral,referral,display,email,1
False,referral,referral,display,email,,1
False,referral,referral,referral,email,,1
False,referral,referral,referral,email,,1
False,display,email,,,,1
False,email,referral,referral,referral,paid_search,1
False,email,referral,referral,,,1
False,email,email,,,,1
False,email,,,,,1
False,social,email,,,,1
False,referral,email,email,,,1
False,referral,referral,email,,,1
False,display,referral,referral,,,1
False,referral,,,,,1
False,email,,,,,1
False,referral,social,referral,email,,1
False,referral,social,email,,,1
False,referral,email,,,,1
False,email,,,,,1
False,email,email,,,,1
False,referral,referral,referral,email,,1
False,social,referral,email,,,1
False,email,referral,social,,,1
False,referral,display,paid_search,display,email,1
False,display,referral,referral,referral,email,1
False,display,email,,,,1
False,display,,,,,1
False,referral,social,email,,,1
False,referral,,,,,1
False,email,display,referral,social,,1
False,referral,referral,email,,,1
False,referral,referral,referral,,,1
False,email,display,referral,,,1
False,social,referral,referral,email,,1
False,email,display,referral,,,1
False,referral,referral,email,,,1
False,referral,referral,referral,social,email,1
False,referral,referral,email,,,1
False,referral,email,,,,1
False,email,referral,referral,,,1
False,display,display,referral,,,1
False,referral,display,referral,referral,email,1
False,referral,email,,,,1
False,referral,email,,,,1
False,referral,referral,referral,referral,email,1
False,email,,,,,1
False,referral,display,referral,email,,1
False,referral,paid_search,email,,,1
False,referral,social,email,,,1
False,referral,email,,,,1
False,email,referral,referral,,,1
False,email,referral,email,,,1
False,referral,email,,,,1
False,referral,referral,email,,,1
False,referral,email,,,,1
False,referral,referral,email,,,1
False,referral,referral,email,,,1
False,email,referral,display,,,1
False,referral,paid_search,social,email,,1
False,email,referral,referral,referral,,1
False,referral,referral,email,,,1
False,referral,referral,email,,,1
False,email,display,,,,1
False,referral,social,referral,email,,1
False,email,referral,referral,,,1
False,email,display,referral,,,1
False,email,referral,display,,,1
False,referral,referral,email,,,1
False,email,,,,,1
False,email,,,,,1
False,email,referral,referral,social,,1
False,referral,email,paid_search,referral,email,1
False,display,display,email,,,1
False,referral,referral,email,,,1
False,email,email,,,,1
False,email,display,referral,,,1
False,referral,email,,,,1
False,referral,paid_search,referral,social,email,1
False,social,,,,,1
False,email,email,referral,referral,referral,1
False,email,referral,display,email,,1
False,display,referral,email,,,1
False,email,referral,referral,,,1
False,email,,,,,1
False,email,display,referral,,,1
False,organic_search,email,,,,1
False,email,social,referral,,,1
False,email,referral,,,,1
False,referral,,,,,1
False,referral,,,,,1
False,email,social,display,referral,,1
False,referral,referral,referral,display,email,1
False,email,,,,,1
False,referral,referral,email,,,1
False,email,,,,,1
False,referral,referral,email,,,1
False,referral,referral,display,referral,email,1
False,referral,email,,,,1
False,email,display,display,,,1
False,referral,paid_search,email,,,1
False,referral,referral,email,,,1
False,referral,social,referral,email,,1
False,email,display,,,,1
False,email,email,referral,,,1
False,email,social,referral,,,1
False,email,social,referral,,,1
False,referral,paid_search,,,,1
False,display,email,,,,1
False,email,referral,referral,referral,,1
False,social,referral,social,referral,email,1
False,referral,email,,,,1
False,email,,,,,1
False,referral,referral,email,email,,1
False,email,,,,,1
False,paid_search,referral,email,,,1
False,email,referral,,,,1
False,display,referral,referral,email,,1
False,referral,display,email,,,1
False,referral,display,referral,email,,1
False,email,referral,referral,,,1
False,email,,,,,1
False,referral,referral,referral,email,,1
False,referral,,,,,1
False,email,referral,referral,referral,,1
False,referral,referral,email,,,1
False,referral,referral,referral,email,,1
False,display,referral,email,,,1
False,email,referral,referral,email,,1
False,email,,,,,1
False,social,referral,,,,1
False,referral,referral,display,email,,1
False,email,referral,,,,1
False,referral,email,,,,1
False,social,display,referral,email,,1
False,email,referral,referral,,,1
False,email,referral,display,,,1
False,referral,referral,email,,,1
False,email,email,,,,1
False,referral,referral,email,,,1
False,referral,referral,email,,,1
False,referral,referral,email,,,1
False,social,referral,email,,,1
False,paid_search,referral,email,,,1
False,email,,,,,1
False,social,referral,email,,,1
False,referral,display,,,,1
False,email,referral,referral,,,1
False,email,referral,referral,,,1
False,referral,referral,,,,1
False,email,,,,,1
False,email,email,display,,,1
False,display,email,email,email,,1
False,referral,referral,referral,email,,1
False,referral,referral,referral,email,,1
False,email,referral,display,,,1
False,social,referral,email,,,1
False,email,referral,,,,1
False,referral,referral,email,,,1
False,social,referral,referral,,,1
False,referral,social,email,,,1
False,referral,referral,email,,,1
False,social,referral,referral,referral,email,1
False,display,referral,email,referral,email,1
False,email,referral,referral,referral,social,1
False,email,,,,,1
False,email,referral,referral,,,1
False,referral,referral,email,,,1
False,social,referral,email,,,1
False,referral,display,email,,,1
False,email,referral,referral,,,1
False,display,referral,social,referral,email,1
False,referral,referral,referral,email,,1
False,referral,referral,email,email,,1
False,email,,,,,1
False,referral,,,,,1
False,email,referral,referral,referral,,1
False,referral,email,referral,email,,1
False,referral,email,email,,,1
False,referral,referral,email,,,1
False,referral,referral,referral,email,,1
False,referral,email,,,,1
False,display,referral,email,,,1
False,referral,email,referral,referral,email,1
False,referral,,,,,1
False,referral,referral,email,,,1
False,email,referral,referral,display,referral,1
False,email,referral,social,display,social,1
False,social,social,referral,display,email,1
False,email,referral,referral,,,1
False,referral,email,,,,1
False,referral,email,,,,1
False,referral,email,referral,email,,1
False,referral,referral,email,,,1
False,display,referral,email,,,1
False,referral,referral,referral,email,,1
False,email,referral,referral,,,1
False,social,referral,display,referral,,1
False,email,referral,paid_search,social,,1
False,email,email,,,,1
False,email,,,,,1
False,referral,email,,,,1
False,referral,paid_search,,,,1
False,email,referral,social,,,1
False,social,email,,,,1
False,email,referral,,,,1
False,email,referral,referral,,,1
False,referral,social,email,,,1
False,email,email,,,,1
False,referral,referral,social,email,,1
False,email,display,referral,,,1
False,referral,referral,email,,,1
False,email,referral,,,,1
False,referral,referral,,,,1
False,referral,referral,email,,,1
False,email,referral,email,,,1
False,referral,referral,email,,,1
False,referral,email,,,,1
False,email,referral,referral,referral,,1
False,referral,referral,email,,,1
False,email,,,,,1
False,email,,,,,1
False,social,social,referral,email,,1
False,referral,referral,referral,referral,email,1
False,referral,referral,referral,email,,1
False,social,email,,,,1
False,referral,referral,email,email,,1
False,email,referral,paid_search,,,1
False,email,display,referral,,,1
False,email,,,,,1
False,email,display,referral,,,1
False,referral,referral,referral,referral,email,1
False,referral,email,,,,1
False,email,referral,referral,,,1
False,referral,referral,email,,,1
False,email,referral,referral,,,1
False,referral,email,,,,1
False,referral,email,,,,1
False,email,social,referral,,,1
False,referral,referral,email,,,1
False,referral,referral,email,,,1
True,social,,,,,1
True,social,email,,,,1
True,display,social,referral,social,,1
True,social,display,social,,,1
True,referral,referral,paid_search,social,,1
True,display,social,,,,1
True,referral,referral,,,,1
True,referral,referral,referral,social,,1
True,social,display,,,,1
True,display,social,,,,1
True,social,referral,referral,referral,,1
True,referral,referral,social,,,1
True,referral,referral,social,,,1
True,social,referral,referral,,,1
True,display,email,referral,display,social,1
True,social,referral,,,,1
True,referral,social,social,,,1
True,referral,referral,social,,,1
True,display,referral,referral,display,social,1
True,social,referral,referral,referral,,1
True,social,email,referral,,,1
True,referral,display,social,,,1
True,referral,social,,,,1
True,email,email,referral,social,,1
True,referral,social,referral,social,,1
True,referral,social,referral,referral,social,1
True,display,referral,,,,1
True,social,,,,,1
True,social,referral,,,,1
True,social,,,,,1
True,social,,,,,1
True,email,referral,,,,1
True,display,display,social,,,1
True,social,email,social,,,1
True,social,referral,referral,paid_search,,1
True,social,referral,,,,1
True,social,referral,referral,social,social,1
True,social,referral,referral,,,1
True,social,,,,,1
True,display,referral,referral,social,,1
True,referral,paid_search,paid_search,referral,social,1
True,display,referral,social,,,1
True,referral,referral,referral,social,,1
True,email,,,,,1
True,social,referral,referral,referral,referral,1
True,social,referral,social,,,1
True,social,referral,social,referral,,1
True,referral,referral,referral,social,,1
True,paid_search,referral,display,social,,1
True,social,paid_search,referral,,,1
True,referral,display,referral,social,,1
True,social,referral,organic_search,referral,,1
True,social,social,,,,1
True,social,,,,,1
True,referral,social,,,,1
True,referral,display,display,social,,1
True,social,,,,,1
True,social,referral,social,,,1
True,social,,,,,1
True,social,referral,referral,,,1
True,referral,referral,referral,social,,1
True,referral,referral,social,display,social,1
True,social,,,,,1
True,social,,,,,1
True,referral,social,,,,1
True,social,social,referral,referral,referral,1
True,referral,social,,,,1
True,social,referral,,,,1
True,social,referral,referral,,,1
True,referral,referral,social,,,1
True,referral,social,,,,1
True,display,referral,paid_search,social,,1
True,referral,referral,social,,,1
True,social,referral,,,,1
True,display,referral,,,,1
True,referral,referral,referral,social,,1
True,display,social,,,,1
True,display,referral,social,,,1
True,referral,referral,,,,1
True,display,display,paid_search,,,1
True,social,referral,referral,,,1
True,display,referral,,,,1
True,social,paid_search,referral,referral,email,1
True,social,referral,email,referral,,1
True,social,display,email,,,1
True,paid_search,referral,social,,,1
True,referral,social,,,,1
True,social,display,referral,referral,,1
True,referral,referral,social,,,1
True,referral,social,social,,,1
True,referral,display,social,,,1
True,social,display,referral,,,1
True,referral,referral,referral,,,1
True,social,display,referral,,,1
True,social,social,,,,1
True,email,referral,social,,,1
True,referral,referral,social,,,1
True,referral,referral,social,,,1
True,social,referral,referral,referral,,1
True,referral,display,social,,,1
True,social,referral,email,,,1
True,referral,social,social,,,1
True,social,display,referral,,,1
True,referral,display,,,,1
True,referral,referral,social,,,1
True,display,social,,,,1
True,social,referral,referral,social,,1
True,social,referral,referral,referral,,1
True,referral,social,social,,,1
True,social,referral,,,,1
True,social,social,referral,social,,1
True,social,display,,,,1
True,referral,referral,social,,,1
True,social,referral,referral,referral,referral,1
True,social,referral,,,,1
True,social,paid_search,referral,,,1
True,social,referral,referral,social,,1
True,referral,referral,referral,referral,social,1
True,social,referral,referral,social,,1
True,referral,referral,social,,,1
True,referral,social,,,,1
True,social,referral,referral,social,,1
True,social,referral,,,,1
True,social,referral,social,,,1
True,social,,,,,1
True,referral,referral,social,,,1
True,social,referral,display,email,,1
True,referral,social,,,,1
True,social,,,,,1
True,social,social,display,social,,1
True,referral,email,social,referral,social,1
True,referral,referral,social,,,1
True,display,referral,social,,,1
True,social,,,,,1
True,referral,referral,,,,1
True,referral,referral,social,,,1
True,referral,referral,social,,,1
True,social,social,display,social,referral,1
True,referral,referral,referral,social,,1
True,referral,referral,display,social,,1
True,social,,,,,1
True,social,,,,,1
True,referral,display,social,,,1
True,paid_search,referral,social,,,1
True,social,referral,referral,referral,referral,1
True,social,,,,,1
True,display,referral,display,referral,social,1
True,referral,social,social,,,1
True,referral,email,email,referral,,1
True,social,referral,social,social,,1
True,social,,,,,1
True,referral,referral,social,,,1
True,social,display,referral,,,1
True,social,,,,,1
True,referral,social,,,,1
True,email,referral,social,,,1
True,referral,social,social,,,1
True,referral,social,,,,1
True,social,referral,referral,social,,1
True,social,referral,social,,,1
True,email,referral,social,,,1
True,referral,referral,social,,,1
True,social,referral,social,,,1
True,social,referral,,,,1
True,social,referral,paid_search,social,social,1
True,referral,referral,paid_search,social,social,1
True,referral,referral,social,,,1
True,referral,referral,referral,referral,social,1
True,social,,,,,1
True,display,referral,social,,,1
True,referral,social,,,,1
True,referral,social,,,,1
True,display,email,email,,,1
True,social,referral,referral,email,,1
True,social,social,,,,1
True,social,social,,,,1
True,social,,,,,1
True,referral,social,social,,,1
True,social,,,,,1
True,social,,,,,1
True,referral,referral,display,social,,1
True,referral,referral,social,,,1
True,referral,referral,social,,,1
True,social,referral,referral,paid_search,referral,1
True,social,referral,,,,1
True,referral,referral,referral,display,social,1
True,referral,referral,social,,,1
True,referral,email,referral,,,1
True,social,referral,referral,,,1
True,display,referral,referral,social,,1
True,social,display,referral,referral,,1
True,social,referral,referral,,,1
True,social,referral,referral,social,,1
True,social,referral,referral,,,1
True,referral,referral,social,,,1
True,social,referral,social,,,1
True,referral,social,,,,1
True,social,referral,social,,,1
True,paid_search,referral,email,social,,1
True,social,referral,,,,1
True,social,referral,referral,,,1
True,social,referral,,,,1
True,email,referral,social,,,1
True,referral,display,social,,,1
True,referral,social,social,,,1
True,social,referral,referral,,,1
True,referral,referral,social,,,1
True,referral,referral,social,,,1
True,display,display,social,,,1
True,social,email,referral,,,1
True,social,referral,referral,,,1
True,referral,social,,,,1
True,social,referral,email,referral,email,1
True,social,referral,referral,,,1
True,social,referral,referral,,,1
True,social,referral,referral,,,1
True,social,referral,referral,,,1
True,referral,referral,social,,,1
True,social,social,referral,social,,1
True,referral,social,,,,1
True,social,referral,,,,1
True,social,referral,referral,,,1
True,referral,referral,social,,,1
True,referral,referral,social,,,1
True,social,,,,,1
True,referral,display,social,,,1
True,paid_search,email,,,,1
True,social,social,paid_search,referral,display,1
True,social,,,,,1
True,referral,paid_search,social,,,1
True,referral,referral,referral,social,,1
True,referral,social,social,,,1
True,email,referral,social,,,1
True,referral,referral,social,,,1
True,social,referral,referral,,,1
True,referral,,,,,1
True,social,referral,referral,referral,referral,1
True,referral,referral,social,,,1
True,social,,,,,1
True,social,referral,referral,,,1
True,social,referral,referral,referral,,1
True,social,email,referral,,,1
True,display,social,social,,,1
True,referral,referral,social,,,1
True,email,referral,social,,,1
True,social,referral,referral,,,1
True,social,,,,,1
True,referral,referral,social,,,1
True,referral,referral,social,,,1
True,social,referral,social,referral,,1
True,display,referral,referral,social,,1
True,referral,referral,display,social,,1
True,display,referral,referral,social,social,1
True,referral,referral,social,,,1
True,referral,referral,social,,,1
True,referral,social,,,,1
True,referral,referral,referral,social,,1
True,social,,,,,1
True,referral,referral,,,,1
True,social,referral,social,display,,1
True,referral,referral,social,,,1
True,social,referral,social,,,1
True,referral,referral,social,,,1
True,referral,referral,social,,,1
True,social,,,,,1
